Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Dispute_Status_for_Publication,Name_of_Associated_Covered_Device_or_Medical_Supply1,Name_of_Associated_Covered_Drug_or_Biological1,Physician_Specialty,status
Merck Sharp & Dohme Corporation,No,,ZOSTAVAX,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
Ethicon Inc.,No,Mesh,,Allopathic & Osteopathic Physicians|Transplant Surgery,disallowed
Allergan Inc.,No,,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Hand Surgery,disallowed
Cubist Pharmaceuticals Inc,No,,CUBICIN,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Foot and Ankle Surgery,disallowed
Modern Orthopedic Consultants,No,ARTHREX PRODUCT LINE SHOULDER & ELBOW ARTHROSCOPY,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine,disallowed
"Otsuka America Pharmaceutical, Inc.",No,,ABILIFY TABLET,Allopathic & Osteopathic Physicians|Neuromusculoskeletal Medicine & OMM,disallowed
Abbott Laboratories,No,Diagnostics,,Allopathic & Osteopathic Physicians|Pathology|Blood Banking & Transfusion Medicine,disallowed
American Medical Systems Inc.,No,MiniArc Pro,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Obstetrics,disallowed
Merck Sharp & Dohme Corporation,No,,Follistim,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Reproductive Endocrinology,allowed
"AbbVie, Inc.",No,,Humira,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Rheumatology,disallowed
Celgene Corporation,No,,Abraxane,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
NOVARTIS PHARMACEUTICALS CORPORATION,No,,AFINITOR,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
"Sunstar Americas, Inc.",No,GUIDOR Matrix Barrier,Paroex,Dental Providers|Dentist|Endodontics,disallowed
Arthrosurface Incorporated,No,HemiCAP Knee,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,disallowed
Bayer HealthCare Pharmaceuticals Inc.,No,,Stivarga,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
CDC Medical LLC,No,ARTHREX PRODUCT LINE ARTHROPLASTY,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Hand Surgery,disallowed
SANOFI US SERVICES INC.,No,,,Allopathic & Osteopathic Physicians|Allergy & Immunology,disallowed
Cubist Pharmaceuticals Inc,No,,ENTEREG,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
"COMSORT, Inc",No,,GARDASIL,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Sunovion Pharmaceuticals Inc.,No,,Commercially Not Approved,Other Service Providers|Specialist,disallowed
"LifeScan, Inc.",No,Meters,,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Endocrinology,disallowed
Abbott Laboratories,No,Vascular,,Podiatric Medicine & Surgery Service Providers|Podiatrist,disallowed
"Impax Laboratories, Inc.",No,,ZOMIG,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
VERTEX PHARMACEUTICALS INCORPORATED,No,,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
Olympus Corporation of the Americas,No,Surgical Energy Products,,,disallowed
"Aptalis Pharma US, Inc",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"Teva Pharmaceuticals USA, Inc.",No,,NUVIGIL,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology & Clinical Pathology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecology,disallowed
"Takeda Pharmaceuticals U.S.A., Inc.",No,,Nesina,Allopathic & Osteopathic Physicians|Neuromusculoskeletal Medicine & OMM,disallowed
Astellas Pharma US Inc,No,,Lexiscan,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
"Alphatec Spine, Inc",No,ACE,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
"Elekta, Inc.",No,ELEKTA LINEAR ACCELERATOR,,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
"BIomet 3i, LLC",No,3I - DENTAL,,Dental Providers|Dentist|Oral and Maxillofacial Pathology,disallowed
SANOFI-AVENTIS U.S. LLC,No,,AUVIQ,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Infectious Diseases,disallowed
"DJO, LLC",No,Orthoses  Prefab  non-custom,,Allopathic & Osteopathic Physicians|Surgery,disallowed
SANOFI US SERVICES INC.,No,,,Allopathic & Osteopathic Physicians|Ophthalmology,allowed
Merck Sharp & Dohme Corporation,No,,MK-1293,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,allowed
Questcor Pharmaceuticals,No,,ACTHAR- NEPH,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"AbbVie, Inc.",No,,ABT-493,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
"Janssen Pharmaceuticals, Inc",No,,Xarelto,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
Stryker Corporation,No,INTERBODY DEVICE,,Allopathic & Osteopathic Physicians|Otolaryngology|Pediatric Otolaryngology,disallowed
Bayer HealthCare LLC,No,,Finacea,Allopathic & Osteopathic Physicians|Pathology|Dermatopathology,disallowed
"EMD Serono, Inc.",No,,,Other Service Providers|Specialist,disallowed
The Medicines Company,No,,CLEVIPREX,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Clinical Neurophysiology,disallowed
Johnson and Johnson International,No,Shoulder,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychosomatic Medicine,disallowed
Merck Sharp & Dohme Corporation,No,,,,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,AGGRENOX,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"Medline Industries, Inc.",No,Urology,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Boston Scientific Corporation,No,KIDNEY STONE DISEASE,,,allowed
MicrolineSurgical Inc,No,,,,disallowed
"Intuitive Surgical, Inc.",No,Da Vinci Surgical System,,Other Service Providers|Specialist,disallowed
"Precision Spine, Inc.",No,Slimplicity SOLO Anterior Cervical Plate System,,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
"Noven Therapeutics, LLC",No,,BRISDELLE,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Critical Care Medicine,disallowed
NOVARTIS PHARMACEUTICALS CORPORATION,No,,BYL719,,allowed
"Biomet Trauma, LLC",No,ORTHO - TRAUMA,,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
Merck Sharp & Dohme Corporation,No,,GARDASIL,Allopathic & Osteopathic Physicians|Internal Medicine|Adolescent Medicine,disallowed
3M Company,No,Dental Cavity Varnish,Clinpro 5000 Toothpaste- Bubble Gum,Dental Providers|Dentist|Pediatric Dentistry,disallowed
"Medtronic Vascular, Inc.",No,Ablation,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
VERTEX PHARMACEUTICALS INCORPORATED,No,,INCIVEK,Nursing Service Providers|Registered Nurse|Gastroenterology,disallowed
"Janssen Pharmaceuticals, Inc",No,,Invokana,Allopathic & Osteopathic Physicians|Dermatology|Dermatopathology,disallowed
Amgen Inc.,No,,Vectibix,Allopathic & Osteopathic Physicians|Surgery,disallowed
Gilead Sciences Inc,No,,Ranexa,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,disallowed
CSL Behring,No,,Kcentra,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology,disallowed
"Synergeyes, Inc.",No,Duette Contact Lens,,,disallowed
"Janssen Pharmaceuticals, Inc",No,,Invega,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Pain Medicine,disallowed
Novartis Pharmaceuticals Corporation,No,,TEKTURNA,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,disallowed
SANOFI-AVENTIS U.S. LLC,No,Osteoarthritis of the knee,,Allopathic & Osteopathic Physicians|Pain Medicine|Interventional Pain Medicine,disallowed
Pfizer Inc.,No,,VIAGRA,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"Hospira Worldwide, Inc.",No,,Epoetin Hospira,Other Service Providers|Specialist,allowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
Cardiovascular Systems Inc.,No,Atherectomy Device,,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
"Ortho-Clinical Diagnostics, Inc.",No,Diagnostics,,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology & Clinical Pathology,disallowed
Merck Sharp & Dohme Corporation,No,,NON-PRODUCT,Allopathic & Osteopathic Physicians|Urology,disallowed
Boston Scientific Corporation,No,PAIN MANAGEMENT,,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
AstraZeneca Pharmaceuticals LP,No,,SYMBICORT,Group|Single Specialty,disallowed
"Becton, Dickinson and Company",No,Diabetes Care,,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
"Janssen Pharmaceuticals, Inc",No,,Aciphex,Allopathic & Osteopathic Physicians|Surgery,disallowed
Stryker Corporation,No,NEURO SPINE ENT,,,allowed
"K2M, Inc.",No,EVEREST,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
"Meda Pharmaceuticals, Inc.",No,,Elestrin,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Reproductive Endocrinology,disallowed
Daiichi Sankyo Inc.,No,,Benicar,"Physician Assistants & Advanced Practice Nursing Providers|Nurse Anesthetist, Certified Registered",disallowed
MAKO Surgical Corp.,No,MAKOplasty,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
"Medtronic MiniMed, Inc.",No,Continuous Glucose Monitor,,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
Pfizer Inc.,No,,BOSULIF,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"Janssen Pharmaceuticals, Inc",No,,Nucynta,"Allopathic & Osteopathic Physicians|Neuromusculoskeletal Medicine, Sports Medicine",disallowed
"GlaxoSmithKline, LLC.",No,,VERAMYST,Physician Assistants & Advanced Practice Nursing Providers|Clinical Nurse Specialist|Psych/Mental Health,allowed
Luitpold Pharmaceuticals Inc,No,Sprix,Sprix,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers|Physical Therapist|Orthopedic",disallowed
"Maxx Orthopedics, Inc.",No,Maxx health Freedom Knee,,,disallowed
"Therakos, Inc.",No,Cellex Photopheresis System,,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Hematology-Oncology,disallowed
Cepheid,No,Xpert HPV,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecology,disallowed
Algeta US LLC,No,,Xofigo,Allopathic & Osteopathic Physicians|General Practice,disallowed
"Kowa Pharmaceuticals America, Inc.",No,,LIVALO,Other Service Providers|Legal Medicine,disallowed
Merck Sharp & Dohme Corporation,No,,MK-8457,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
"New York Blood Center, Inc.",No,,,Allopathic & Osteopathic Physicians|Pathology|Blood Banking & Transfusion Medicine,disallowed
Pfizer Inc.,No,,GENOTROPIN,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Covidien Sales LLC,No,Onyx,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
Allergan Inc.,No,,,Allopathic & Osteopathic Physicians|Otolaryngology,disallowed
Novartis Pharmaceuticals Corporation,No,,SIGNIFOR,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
Stryker Corporation,No,SURGICAL,,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,disallowed
Stryker Corporation,No,JOINT PRESERVATION,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Hand Surgery,disallowed
"Takeda Development Center Americas, Inc.",No,,Uloric,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,allowed
Pfizer Inc.,No,,LYRICA,Allopathic & Osteopathic Physicians|Internal Medicine|Critical Care Medicine,disallowed
Novartis Pharmaceuticals Corporation,No,,NON BRAND,Allopathic & Osteopathic Physicians|Pathology|Clinical Pathology/Laboratory Medicine,disallowed
VIROPHARMA INCORPORATED,No,,CINRYZE HUMAN C1-ESTERASE INHIBITOR,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology,disallowed
"AngioDynamics, Inc.",No,,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
Cook Medical Technologies LLC,No,Aortic Intervention,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
"Janssen Pharmaceuticals, Inc",No,,Zytiga,Other Service Providers|Legal Medicine,disallowed
Integra LifeSciences Corporation,No,Recon-Skin and Wound,,Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery,disallowed
"Janssen Biotech, Inc.",No,,Stelara,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
AstraZeneca Pharmaceuticals LP,No,,CRESTOR,Allopathic & Osteopathic Physicians|Allergy & Immunology|Allergy,disallowed
"Ortho Organizers, Inc.",No,"Specialty Products  Orthodontics, non-Camlog implants, regenerative materials, etc.",,Dental Providers|Dentist|Pediatric Dentistry,disallowed
"Alexion Pharmaceuticals, Inc.",No,,SOLIRIS,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
Amgen Inc.,No,,Neulasta,Allopathic & Osteopathic Physicians|Surgery,disallowed
ITxM Diagnostics,No,,,,disallowed
"Genentech USA, Inc.",No,,Rituxan,Allopathic & Osteopathic Physicians|Independent Medical Examiner,disallowed
"Janssen Pharmaceuticals, Inc",No,,Xarelto,Allopathic & Osteopathic Physicians|Internal Medicine|Critical Care Medicine,disallowed
Merck Sharp & Dohme Corporation,No,,NON-PRODUCT,Allopathic & Osteopathic Physicians|Emergency Medicine|Pediatric Emergency Medicine,disallowed
"Grifols USA, LLC",No,,Albutein,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
Septodont Inc.,No,NEEDLES,,Dental Providers|Dentist,disallowed
"Janssen Biotech, Inc.",No,,No Product,Other Service Providers|Specialist,disallowed
Atrium Medical Corporation,No,BioSurgery,,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
Gilead Sciences Inc,No,,,Other Service Providers|Legal Medicine,disallowed
Novartis Pharmaceuticals Corporation,No,,AFINITOR,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
"Teva Pharmaceuticals USA, Inc.",No,,NUVIGIL,Allopathic & Osteopathic Physicians|Surgery,disallowed
"Endocare, Inc.",No,Cryo Probe,,Allopathic & Osteopathic Physicians|Urology,disallowed
"Medtronic USA, Inc.",No,Drug Infusion Systems - Neuro,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecology,disallowed
"Lantheus Medical Imaging, Inc.",No,,Fluorodeoxyglucose,Allopathic & Osteopathic Physicians|Nuclear Medicine|In Vivo & In Vitro Nuclear Medicine,disallowed
"Onyx Pharmaceuticals, Inc., an Amgen subsidiary",No,,Nexavar,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecologic Oncology,disallowed
"AbbVie, Inc.",No,,Humira,Allopathic & Osteopathic Physicians|Colon & Rectal Surgery,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,TRADJENTA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Child & Adolescent Psychiatry,disallowed
"Genentech USA, Inc.",No,,Rituxan,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
Integra LifeSciences Corporation,No,Recon-Skin and Wound,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Trauma,disallowed
Edwards Lifesciences Corporation,No,Transcatheter Heart Valves,,Allopathic & Osteopathic Physicians|Urology,disallowed
Allergan Inc.,No,NATRELLE,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Hand Surgery,disallowed
"ZILA, INC.",No,Dental Lasers,,Dental Providers|Dentist|General Practice,disallowed
"Medtronic USA, Inc.",No,Spinal Cord Neurostimulation - Neuro,,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),disallowed
SciCan Inc,No,Free Goods,,Dental Providers|Dentist|Oral and Maxillofacial Surgery,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,ONGLYZA,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Edwards Lifesciences Corporation,No,Minimally Invasive Hemodynamic Monitoring,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Dyax Corp,No,,DX-2930,Allopathic & Osteopathic Physicians|Allergy & Immunology,disallowed
"Takeda Pharmaceuticals America, Inc.",No,,Dexilant,Other Service Providers|Specialist,disallowed
"Roche Molecular Systems, Inc.",No,MD-Microbiology,,,allowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Allopathic & Osteopathic Physicians|Colon & Rectal Surgery,disallowed
"Smith & Nephew, Inc.",No,Sports Med Shoulder,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Hand Surgery,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Addiction Medicine,disallowed
Integra LifeSciences Corporation,No,Recon-Lower Extremity Metal,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
MED-EL Corporation,No,MED-EL Maestro Cochlear Implant System,,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Emergency Medicine,disallowed
Promius Pharma LLC,No,,,Allopathic & Osteopathic Physicians|Dermatology|Pediatric Dermatology,disallowed
"Octapharma USA, Inc.",No,,WILATE,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"Iroko Pharmaceuticals, LLC",No,,Zorvolex 35mg,Podiatric Medicine & Surgery Service Providers|Podiatrist|Sports Medicine,disallowed
ArthroCare Corporation,No,ENT Coblation & RR,,Allopathic & Osteopathic Physicians|Otolaryngology|Otolaryngology/Facial Plastic Surgery,disallowed
"Salix Pharmaceuticals, Ltd",No,,Xifaxan 550 mg,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology,disallowed
Avinger Inc.,No,Vascular Disease,,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
GENZYME CORPORATION,No,,TERIFLUNOMIDE,Allopathic & Osteopathic Physicians|Pediatrics,allowed
"Ivoclar Vivadent, Inc.",No,"Variolink Veneer Try-In Ref. 1.5 ml HV 3, Variolink Veneer Ref. 1.5 ml HV 3",,Dental Providers|Dentist|General Practice,disallowed
Genzyme Corporation,No,,,Allopathic & Osteopathic Physicians|Pathology|Hematology,disallowed
Musculoskeletal Transplant Foundation Inc.,No,,,Allopathic & Osteopathic Physicians|Anesthesiology|Critical Care Medicine,disallowed
Zimmer Holding Inc,No,Extremities,,Allopathic & Osteopathic Physicians|Surgery|Surgery of the Hand,disallowed
Daiichi Sankyo Inc.,No,,Benicar,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
Shire US Holdings,No,,LIALDA,Allopathic & Osteopathic Physicians|Dermatology,disallowed
"Takeda Pharmaceuticals America, Inc.",No,,Uloric,Podiatric Medicine & Surgery Service Providers|Podiatrist,disallowed
"Spine Wave, Inc.",No,Interbody Device,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
